Genuine Balloonicorn | 38 ref
Strange Part: Airborne Enemies Killed | 36.4333333333334 ref
Strange Part: Allied Healing Done | 36.4333333333334 ref
Strange Part: Critical Kills | 60.9833333333334 ref
Strange Part: Damage Dealt | 106.822222222222 ref
Strange Part: Domination Kills | 58.4266666666668 ref
Strange Part: Kills with a Taunt Attack | 36.4333333333334 ref
Strange Part: Projectiles Reflected | 50.4333333333334 ref
Strange Part: Robots Destroyed | 54.6500000000001 ref
Summer Adventure Pack | 35.3611111111112 ref
Non-Craftable Summer Hat | 118.633333333334 ref
Taunt: Pool Party | 56.9833333333334 ref
Taunt: The Boston Breakdance | 33.8833333333334 ref
Strange Texas Ten Gallon | 36.4333333333334 ref
Strange Thermal Tracker | 36.5088888888889 ref
Strange Australium Tomislav | 161.211111111111 ref
Towering Pillar Of Summer Shades | 288.061111111112 ref
Strange Ullapool Caber | 71.0555555555557 ref
Upgrade to Premium Gift | 40.1000000000001 ref
Non-Craftable Voodoo Juju | 54.6500000000001 ref
Strange Australium Wrench | 428.38888888889 ref
A Distinctive Lack of Hue | 40.4333333333334 ref
Strange AWPer Hand | 214.455555555556 ref
Strange All-Father | 91.0833333333335 ref
Strange Australium Ambassador | 271.105555555556 ref
An Extraordinary Abundance of Tinge | 40.4333333333334 ref
Strange Antarctic Researcher | 55.5366666666668 ref
Genuine Archimedes | 41.7666666666667 ref
Strange Australium Axtinguisher | 145.475555555556 ref
Genuine Balloonicorn | 35.55 ref
Bill's Hat | 36.4333333333334 ref
Strange Australium Black Box | 331.233333333334 ref
Strange Blood Botkiller Knife Mk.I | 29.6222222222223 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.6222222222223 ref
Strange Blood Botkiller Minigun Mk.I | 32.3611111111112 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.6500000000001 ref
Strange Blood Botkiller Scattergun Mk.I | 44.4333333333334 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.7666666666667 ref
Strange Blood Botkiller Wrench Mk.I | 37.3611111111112 ref
Strange Australium Blutsauger | 182.166666666667 ref
Strange Bonk Boy | 65.8700000000001 ref
Genuine Buck Turner All-Stars | 35.2166666666667 ref
Strange Cold Snap Coat | 91.0833333333335 ref
Strange Combat Slacks | 53.5777777777779 ref
Strange Construction PDA | 135.183333333334 ref
Strange Cute Suit | 54.6500000000001 ref
Genuine Dashin' Hashshashin | 53.1722222222223 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 37.1000000000001 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.4333333333334 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.2166666666667 ref
Strange Diamond Botkiller Wrench Mk.I | 35.3611111111112 ref
Strange Disciplinary Action | 35.2888888888889 ref
Earbuds | 54.9833333333334 ref
Strange Ein | 48.5055555555556 ref
Genuine El Jefe | 34.6222222222223 ref
Strange Australium Eyelander | 622.700000000001 ref
Strange Fancy Dress Uniform | 57.3166666666668 ref
Strange Festive Ambassador | 71.838888888889 ref
Strange Festive Bat | 182.166666666667 ref
Strange Festive Black Box | 40.1000000000001 ref
Strange Festive Buff Banner | 35.3611111111112 ref
Strange Festive Eyelander | 36.0277777777778 ref
Strange Festive Flame Thrower | 106.561111111111 ref
Strange Festive Grenade Launcher | 68.7222222222223 ref
Strange Festive Holy Mackerel | 36.4333333333334 ref
Strange Festive Huntsman | 112.3 ref
Strange Festive Knife | 182.166666666667 ref
Strange Festive Medi Gun | 455.416666666668 ref
Strange Festive Minigun | 175.95 ref
Strange Festive Rocket Launcher | 327.900000000001 ref
Strange Festive Sandvich | 72.7944444444446 ref
Strange Festive Scattergun | 381.144444444445 ref
Strange Festive Shotgun | 54.5777777777779 ref
Strange Festive Stickybomb Launcher | 140.255555555556 ref
Strange Festive Ubersaw | 56.9833333333334 ref
Strange Festive Wrench | 208.716666666667 ref
Fireproof Secret Diary | 252.294444444445 ref
Strange Australium Flame Thrower | 273.250000000001 ref
Non-Craftable Flip-Flops | 60.7222222222223 ref
Strange Australium Force-A-Nature | 236.816666666667 ref
Strange Australium Frontier Justice | 198.977777777778 ref
Strange Frying Pan | 127.516666666667 ref
Strange Gold Botkiller Knife Mk.I | 39.1000000000001 ref
Strange Gold Botkiller Knife Mk.II | 35.3266666666667 ref
Strange Gold Botkiller Medi Gun Mk.I | 42.5055555555556 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.6222222222223 ref
Strange Gold Botkiller Minigun Mk.I | 38.4333333333334 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 70.1277777777779 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.7666666666667 ref
Strange Gold Botkiller Scattergun Mk.II | 44.1000000000001 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 46.1000000000001 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 39.1000000000001 ref
Strange Gold Botkiller Wrench Mk.I | 64.6500000000001 ref
Strange Gold Botkiller Wrench Mk.II | 54.6500000000001 ref
Strange Gone Commando | 34.2166666666667 ref
Genuine Grandmaster | 111.966666666667 ref
Strange Australium Grenade Launcher | 314.683333333334 ref
Strange Ground Control | 36.4333333333334 ref
Strange Gunslinger | 319.088888888889 ref
Halloween Spell: Bruised Purple Footprints | 72.8666666666668 ref
Halloween Spell: Spectral Flame | 36.4333333333334 ref
Strange Holstered Heaters | 31.3611111111112 ref
Strange Holy Mackerel | 36.4333333333334 ref
Genuine Horace | 138.922222222222 ref
Strange Huntsman | 72.7944444444446 ref
Strange Invis Watch | 37.7666666666667 ref
Strange Australium Knife | 361.594444444445 ref
Strange Lady Killer | 36.8433333333334 ref
Strange Law | 46.4333333333334 ref
Genuine Little Bear | 218.6 ref
Strange Loose Cannon | 51.838888888889 ref
Non-Craftable Lucky No. 42 | 28.6222222222223 ref
Vintage Lugermorph | 107.083333333334 ref
Strange Machina | 218.6 ref
Mann Co. Supply Crate Key | 17.9933333333333 ref
Strange Mann of the Seven Sees | 39.6533333333333 ref
Max's Severed Head | 431.839999999999 ref
Strange Australium Medi Gun | 461.828888888888 ref
Genuine Merc's Pride Scarf | 45.3199999999999 ref
Strange Australium Minigun | 377.859999999999 ref
Strange Original | 80.6399999999999 ref
Genuine Point and Shoot | 30.9955555555555 ref
Strange Pyromancer's Hood | 29.9911111111111 ref
Pyrovision Goggles | 33.3222222222222 ref
Strange Righteous Bison | 52.9822222222221 ref
Strange Australium Rocket Launcher | 905.664444444443 ref
Strange Australium SMG | 159.944444444444 ref
Strange Sangu Sleeves | 35.9866666666666 ref
Strange Australium Scattergun | 607.444444444443 ref
Genuine Sharp Dresser | 53.9799999999999 ref
Genuine Shred Alert | 32.3288888888889 ref
Strange Snack Attack | 54.9866666666666 ref
Strange Australium Sniper Rifle | 590.782222222221 ref
Strange Snow Sleeves | 39.3199999999999 ref
Strange Sole Mate | 35.9866666666666 ref
Spine-Chilling Skull | 36.6555555555555 ref
Non-Craftable Spine-Chilling Skull | 33.9888888888888 ref
Non-Craftable Spine-Chilling Skull 2011 | 35.9866666666666 ref
Strange Australium Stickybomb Launcher | 281.895555555555 ref
Strange Bacon Grease | 161.94 ref
Strange Part: Airborne Enemies Killed | 35.9866666666666 ref
Strange Part: Allied Healing Done | 35.9866666666666 ref
Strange Part: Critical Kills | 60.3133333333332 ref
Strange Part: Damage Dealt | 105.631111111111 ref
Strange Part: Domination Kills | 57.7566666666666 ref
Strange Part: Kills with a Taunt Attack | 35.9866666666666 ref
Strange Part: Projectiles Reflected | 49.9866666666666 ref
Strange Part: Robots Destroyed | 53.9799999999999 ref
Summer Adventure Pack | 34.9888888888888 ref
Non-Craftable Summer Hat | 117.293333333333 ref
Taunt: Pool Party | 56.6466666666666 ref
Taunt: The Boston Breakdance | 33.66 ref
Strange Texas Ten Gallon | 35.9866666666666 ref
Strange Thermal Tracker | 36.2111111111111 ref
Strange Australium Tomislav | 159.275555555555 ref
Towering Pillar Of Summer Shades | 284.562222222222 ref
Strange Ullapool Caber | 70.311111111111 ref
Upgrade to Premium Gift | 39.6533333333333 ref
Non-Craftable Voodoo Juju | 53.9799999999999 ref
Strange Australium Wrench | 423.177777777777 ref
A Distinctive Lack of Hue | 39.9866666666666 ref
Strange AWPer Hand | 211.924444444444 ref
Strange All-Father | 89.9666666666665 ref
Strange Australium Ambassador | 267.904444444444 ref
An Extraordinary Abundance of Tinge | 39.9866666666666 ref
Strange Antarctic Researcher | 54.8666666666666 ref
Genuine Archimedes | 41.3199999999999 ref
Strange Australium Axtinguisher | 143.837777777778 ref
Genuine Balloonicorn | 35.3266666666666 ref
Bill's Hat | 35.9866666666666 ref
Strange Australium Black Box | 327.213333333333 ref
Strange Blood Botkiller Knife Mk.I | 29.3244444444444 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.3244444444444 ref
Strange Blood Botkiller Minigun Mk.I | 31.9888888888888 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 53.9799999999999 ref
Strange Blood Botkiller Scattergun Mk.I | 43.9866666666666 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.3199999999999 ref
Strange Blood Botkiller Wrench Mk.I | 36.9888888888888 ref
Strange Australium Blutsauger | 179.933333333333 ref
Strange Bonk Boy | 65.1999999999999 ref
Genuine Buck Turner All-Stars | 34.9933333333333 ref
Strange Cold Snap Coat | 91.6333333333332 ref
Strange Combat Slacks | 52.9822222222221 ref
Strange Construction PDA | 133.62 ref
Strange Cute Suit | 53.9799999999999 ref
Genuine Dashin' Hashshashin | 52.651111111111 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 36.6533333333333 ref
Strange Diamond Botkiller Scattergun Mk.I | 35.9866666666666 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 30.9933333333333 ref
Strange Diamond Botkiller Wrench Mk.I | 34.9888888888888 ref
Strange Disciplinary Action | 34.9911111111111 ref
Earbuds | 53.9799999999999 ref
Strange Ein | 47.9844444444444 ref
Genuine El Jefe | 34.3244444444444 ref
Strange Australium Eyelander | 629.766666666666 ref
Strange Fancy Dress Uniform | 56.6466666666666 ref
Strange Festive Ambassador | 71.3177777777777 ref
Strange Festive Bat | 179.933333333333 ref
Strange Festive Black Box | 39.6533333333333 ref
Strange Festive Buff Banner | 34.9888888888888 ref
Strange Festive Eyelander | 35.6555555555555 ref
Strange Festive Flame Thrower | 105.295555555555 ref
Strange Festive Grenade Launcher | 67.9777777777777 ref
Strange Festive Holy Mackerel | 35.9866666666666 ref
Strange Festive Huntsman | 108.96 ref
Strange Festive Knife | 179.933333333333 ref
Strange Festive Medi Gun | 449.833333333333 ref
Strange Festive Minigun | 173.94 ref
Strange Festive Rocket Launcher | 323.879999999999 ref
Strange Festive Sandvich | 71.9755555555554 ref
Strange Festive Scattergun | 376.528888888888 ref
Strange Festive Shotgun | 53.9822222222221 ref
Strange Festive Stickybomb Launcher | 138.617777777778 ref
Strange Festive Ubersaw | 56.3133333333332 ref
Strange Festive Wrench | 206.26 ref
Fireproof Secret Diary | 249.242222222222 ref
Strange Australium Flame Thrower | 269.9 ref
Non-Craftable Flip-Flops | 59.9777777777777 ref
Strange Australium Force-A-Nature | 233.913333333333 ref
Strange Australium Frontier Justice | 196.595555555555 ref
Strange Frying Pan | 125.953333333333 ref
Strange Gold Botkiller Knife Mk.I | 38.6533333333333 ref
Strange Gold Botkiller Knife Mk.II | 35.1033333333333 ref
Strange Gold Botkiller Medi Gun Mk.I | 41.9844444444444 ref
Strange Gold Botkiller Medi Gun Mk.II | 34.3244444444444 ref
Strange Gold Botkiller Minigun Mk.I | 37.9866666666666 ref
Strange Gold Botkiller Rocket Launcher Mk.I | 69.3088888888888 ref
Strange Gold Botkiller Rocket Launcher Mk.II | 43.3199999999999 ref
Strange Gold Botkiller Scattergun Mk.II | 43.6533333333333 ref
Strange Gold Botkiller Sniper Rifle Mk.II | 45.6533333333333 ref
Strange Gold Botkiller Stickybomb Launcher Mk.I | 38.6533333333333 ref
Strange Gold Botkiller Wrench Mk.I | 63.9799999999999 ref
Strange Gold Botkiller Wrench Mk.II | 53.9799999999999 ref
Strange Gone Commando | 33.9933333333333 ref
Genuine Grandmaster | 110.626666666666 ref
Strange Australium Grenade Launcher | 310.886666666666 ref
Strange Ground Control | 35.9866666666666 ref
Strange Gunslinger | 315.217777777777 ref
Halloween Spell: Bruised Purple Footprints | 71.9733333333332 ref
Halloween Spell: Spectral Flame | 35.9866666666666 ref
Halloween Spell: Squash Rockets | 35.9866666666666 ref
Strange Holstered Heaters | 30.9888888888888 ref
Strange Holy Mackerel | 35.9866666666666 ref
Genuine Horace | 137.284444444444 ref
Strange Huntsman | 71.9755555555554 ref
Strange Invis Watch | 37.3199999999999 ref
Strange Australium Knife | 357.202222222222 ref
Strange Lady Killer | 36.2888888888889 ref
Strange Law | 45.9866666666666 ref
Genuine Little Bear | 215.92 ref
Strange Loose Cannon | 51.3177777777777 ref
Vintage Lugermorph | 105.966666666667 ref
Strange Machina | 215.92 ref
Mann Co. Supply Crate Key | 18.2166666666667 ref
Strange Mann of the Seven Sees | 40.1000000000001 ref
Max's Severed Head | 437.200000000001 ref
Strange Australium Medi Gun | 467.561111111112 ref
Genuine Merc's Pride Scarf | 45.7666666666667 ref
Strange Australium Minigun | 382.550000000001 ref
Strange Original | 81.5333333333335 ref
Genuine Point and Shoot | 31.1444444444445 ref
Strange Pyromancer's Hood | 30.2888888888889 ref
Pyrovision Goggles | 33.6944444444445 ref
Strange Righteous Bison | 53.5777777777779 ref
Strange Australium Rocket Launcher | 916.905555555557 ref
Strange Australium SMG | 161.805555555556 ref
Strange Sangu Sleeves | 36.4333333333334 ref
Strange Australium Scattergun | 614.88888888889 ref
Genuine Sharp Dresser | 54.6500000000001 ref
Genuine Shred Alert | 32.4777777777778 ref
Strange Snack Attack | 55.4333333333334 ref
Strange Australium Sniper Rifle | 598.077777777779 ref
Strange Snow Sleeves | 39.7666666666667 ref
Strange Sole Mate | 36.4333333333334 ref
Spine-Chilling Skull | 37.0277777777778 ref
Non-Craftable Spine-Chilling Skull | 34.3611111111112 ref
Non-Craftable Spine-Chilling Skull 2011 | 36.4333333333334 ref
Strange Australium Stickybomb Launcher | 285.394444444445 ref
Strange Bacon Grease | 163.95 ref
Strange Part: Airborne Enemies Killed | 36.4333333333334 ref
Strange Part: Allied Healing Done | 36.4333333333334 ref
Strange Part: Critical Kills | 60.9833333333334 ref
Strange Part: Damage Dealt | 106.822222222222 ref
Strange Part: Domination Kills | 58.4266666666668 ref
Strange Part: Kills with a Taunt Attack | 36.4333333333334 ref
Strange Part: Projectiles Reflected | 50.4333333333334 ref
Strange Part: Robots Destroyed | 54.6500000000001 ref
Summer Adventure Pack | 35.3611111111112 ref
Non-Craftable Summer Hat | 118.633333333334 ref
Taunt: Pool Party | 57.3166666666668 ref
Taunt: The Boston Breakdance | 33.8833333333334 ref
Strange Texas Ten Gallon | 36.4333333333334 ref
Strange Thermal Tracker | 36.5088888888889 ref
Strange Australium Tomislav | 161.211111111111 ref
Towering Pillar Of Summer Shades | 288.061111111112 ref
Strange Ullapool Caber | 71.0555555555557 ref
Upgrade to Premium Gift | 40.1000000000001 ref
Non-Craftable Voodoo Juju | 54.6500000000001 ref
Strange Australium Wrench | 428.38888888889 ref
A Distinctive Lack of Hue | 40.4333333333334 ref
Strange AWPer Hand | 214.455555555556 ref
Strange All-Father | 91.0833333333335 ref
Strange Australium Ambassador | 271.105555555556 ref
An Extraordinary Abundance of Tinge | 40.4333333333334 ref
Strange Antarctic Researcher | 55.5366666666668 ref
Genuine Archimedes | 41.7666666666667 ref
Strange Australium Axtinguisher | 142.736666666667 ref
Genuine Balloonicorn | 35.55 ref
Bill's Hat | 36.4333333333334 ref
Strange Australium Black Box | 331.233333333334 ref
Strange Blood Botkiller Knife Mk.I | 29.6222222222223 ref
Strange Blood Botkiller Medi Gun Mk.I | 35.6222222222223 ref
Strange Blood Botkiller Minigun Mk.I | 32.3611111111112 ref
Strange Blood Botkiller Rocket Launcher Mk.I | 54.6500000000001 ref
Strange Blood Botkiller Scattergun Mk.I | 44.4333333333334 ref
Strange Blood Botkiller Sniper Rifle Mk.I | 49.7666666666667 ref
Strange Blood Botkiller Wrench Mk.I | 37.3611111111112 ref
Strange Australium Blutsauger | 177.761111111111 ref
Strange Bonk Boy | 65.8700000000001 ref
Genuine Buck Turner All-Stars | 35.2166666666667 ref
Strange Combat Slacks | 53.5777777777779 ref
Strange Construction PDA | 135.183333333334 ref
Strange Cute Suit | 54.6500000000001 ref
Genuine Dashin' Hashshashin | 53.1722222222223 ref
Strange Diamond Botkiller Rocket Launcher Mk.I | 37.1000000000001 ref
Strange Diamond Botkiller Scattergun Mk.I | 36.4333333333334 ref
Strange Diamond Botkiller Sniper Rifle Mk.I | 31.2166666666667 ref
Strange Diamond Botkiller Wrench Mk.I | 35.3611111111112 ref
Strange Disciplinary Action | 35.2888888888889 ref
Earbuds | 54.9833333333334 ref
Strange Ein | 48.5055555555556 ref
Genuine El Jefe | 34.6222222222223 ref
Strange Australium Eyelander | 637.583333333335 ref
Strange Fancy Dress Uniform | 57.3166666666668 ref
Strange Festive Ambassador | 71.838888888889 ref
Strange Festive Bat | 182.166666666667 ref
Strange Festive Black Box | 40.1000000000001 ref
Strange Festive Buff Banner | 35.3611111111112 ref
Strange Festive Eyelander | 36.0277777777778 ref
Strange Festive Flame Thrower | 106.561111111111 ref
Strange Festive Grenade Launcher | 68.7222222222223 ref
Strange Festive Holy Mackerel | 36.4333333333334 ref
Strange Festive Huntsman | 110.3 ref
Strange Festive Knife | 182.166666666667 ref
Strange Festive Medi Gun | 455.416666666668 ref
Strange Festive Minigun | 175.95 ref
Strange Festive Rocket Launcher | 327.900000000001 ref
Strange Festive Sandvich | 72.7944444444446 ref
Strange Festive Scattergun | 381.144444444445 ref
Strange Festive Shotgun | 54.5777777777779 ref
Strange Festive Stickybomb Launcher | 140.255555555556 ref
Strange Festive Ubersaw | 56.9833333333334 ref
Strange Festive Wrench | 208.716666666667 ref
